date,enddate,location,city,state,presenter,piece,role,notes
4/5/2018,,University of Chicago,Chicago,IL,CHIMEFEST,circle,"Composer, Performer","Ted Moore, laptop, lights, tubes; Spektral Quartet"
3/30/2018,,Narloch Piano Studio,Chicago,IL,Riley Nicholson,Feedback X,"Composer, Performer","Ted Moore, eurorack modular synth, lighting design, laptop, no-input mixer, tubes, feedback cymbal"
3/16/2018,,Brandeis University,Waltham,MA,BEAMS Marathon Festival,it teaches us that it doesn't exist,"Composer, Performer","Ted Moore, feedback cymbal"
3/13/2018,,Elastic Arts,Chicago,IL,Ted Moore,improv,"Composer, Performer","Ted Moore, eurorack modular synth, lighting design, laptop, tubes, feedback cymbal; Ben Roidl-Ward, bassoon"
3/10/2018,,Central Missouri University,Warrensburg,MO,MOXsonic,still motion b,"Composer, Performer","Ted Moore, mouth and video"
3/10/2018,,Studio Z,St. Paul,MN,Scott Miller,Solstice Orrery,Video Design,Scott Miller
3/7/2018,,Narloch Piano Studio,Chicago,IL,Binary Canary,improv,,
2/23/2018,,"Chicago, IL",Chicago,IL,Body Milk Tapes,improv,,"Emerson Hunton, drums; Ted Moore, laptop"
2/16/2018,2/17/2018,New York University,New York,NY,Precarious Sounds // Sounding Sanctuary,attackSUSTAINrelease,,
1/29/2018,,Myopic Books,Chicago,IL,Myopic Mondays,improvisation,Laptop Improviser,"Emerson Hunton, drums; Ted Moore, laptop"
12/2/2017,,University of Chicago,Chicago,IL,Nuclear Reactions,the curve is exponential,Composer,"Joey Brink, carillon"
11/5/2017,,University of Chicago,Chicago,IL,New Music Ensemble,still motion,Composer,"John Corkill, percussion"
10/28/2017,,Truman State University,Kirksville,MO,North Star Music Festival,improvisation,"Composer, Performer","Ted Moore, laptop, DMX lights"
10/28/2017,,Truman State University,Kirksville,MO,North Star Music Festival,it teaches us that it doesn't exist,"Composer, Performer","Ted Moore, cymbal"
10/28/2017,,Truman State University,Kirksville,MO,North Star Music Festival,still motion b,"Composer, Performer","Ted Moore, mouth and video"
10/28/2017,,Truman State University,Kirksville,MO,North Star Music Festival,Solstice Orrery,,Scott Miller
10/27/2017,,Truman State University,Kirksville,MO,North Star Music Festival,Guest presentation to composition studio,,
